#{"t_start": 1768914618.9225135, "env_id": "LunarLander-v3"}
r,l,t,impact_vel
471.718995,62,357.171824,0.22989625
571.281052,66,357.693011,0.24602048
539.595251,110,357.797597,0.1388557
498.936078,65,357.858554,0.014181261
435.447754,57,358.372467,0.8660616
589.776031,66,358.434695,0.38454148
853.926996,88,358.974889,0.11210208
531.879651,61,359.03329,0.063063554
670.20035,74,359.103248,0.31040716
561.631047,64,359.620548,0.14222717
551.894183,68,359.684551,0.009445163
498.398899,63,359.744382,0.0012401922
623.874775,68,360.267122,0.77999264
469.166932,68,360.330852,0.017536033
632.818543,86,360.41237,0.14805338
586.659868,69,360.935151,0.07224579
484.944477,65,360.996412,0.028354403
676.50666,77,361.068994,0.87067574
466.751413,59,361.584202,0.016183026
586.424531,73,361.653389,0.21698253
435.39499,71,361.720459,0.060532406
500.636324,64,362.239298,0.0010759699
512.281073,70,362.305684,0.083093256
536.465109,63,362.365062,0.66040003
527.618681,68,362.887201,0.10330485
609.319706,69,362.952971,0.038637005
562.185783,65,363.014545,0.19591616
544.52685,64,363.533562,0.012328358
602.834162,79,363.607826,0.46903422
422.870957,74,363.677665,0.11673905
591.936583,66,364.198266,0.23828952
374.040566,83,364.27689,0.15979356
400.524044,60,364.333925,0.874802
742.251585,82,364.868967,0.7142133
512.30384,61,364.926247,0.3264731
507.81966,74,365.465168,0.09413931
663.826861,79,365.539721,0.035264652
346.544047,56,365.593219,0.048829053
874.287116,90,366.134752,0.15227471
394.239182,59,366.190876,6.102967e-08
509.937941,71,366.258387,0.082777426
489.188412,65,366.777425,0.012144718
636.755053,104,366.875745,0.16804774
777.315435,83,367.412298,0.8029137
456.816688,56,367.466086,1.0749295
358.483376,56,367.519118,0.12592669
755.70811,80,368.053292,0.68827736
318.47173,55,368.105568,0.5561379
387.690144,56,368.158687,0.7978669
442.228577,57,368.21259,2.5816904e-08
475.184329,63,368.729243,0.0808952
419.22039,61,368.786596,0.66293037
465.582715,60,368.843444,0.32568797
547.00389,64,369.362186,0.81598485
505.779153,70,369.427745,0.033860285
545.357402,68,369.492335,0.42998642
575.833428,91,370.037337,0.15768756
814.933029,84,370.116402,0.5840608
473.560371,76,370.647838,0.039047487
454.715393,63,370.708038,0.35463843
445.781632,57,370.762034,0.22320685
795.442027,85,371.308973,1.0129199
596.508873,68,371.373401,0.5123521
718.49584,80,371.449461,0.9009767
506.041258,70,371.974048,0.013364135
542.4491,68,372.03938,0.65550226
557.06722,67,372.105754,0.64496356
628.004325,69,372.635945,0.6942126
425.583913,53,372.687603,0.66028696
683.658281,76,372.764043,0.8765917
742.714982,81,373.309469,4.0825676e-06
863.157566,93,373.397902,0.35465613
519.167395,65,373.918741,0.09334112
615.057851,70,373.984679,0.15603901
394.28913,59,374.040972,1.062557
488.856362,59,374.555912,0.43786165
499.345144,67,374.618973,0.8914082
452.452688,56,374.675347,0.18981735
555.37302,69,374.747089,1.8963487e-07
428.85114,79,375.287845,0.10415187
445.016039,61,375.351075,0.48097423
844.046495,89,375.90237,0.41125217
638.816261,77,375.979424,0.72220165
443.777434,59,376.035022,1.7379534e-08
514.623806,61,376.546749,0.7367498
697.433666,78,376.619937,0.09124557
514.026741,66,376.681876,0.055115696
466.487171,63,377.196561,0.22700723
456.942031,56,377.249927,0.61124426
532.990839,62,377.308338,0.05412293
610.365708,67,377.829766,0.8428041
467.224629,57,377.883947,0.8304785
501.009407,65,377.944827,0.004855797
541.294034,69,378.466532,0.25048575
416.648322,53,378.517047,0.04583054
445.092051,62,378.575962,0.57677054
577.428865,84,379.318933,0.21519299
-743.547895,82,379.413972,0.481317
-762.134644,81,379.495026,0.0016644947
-273.194377,57,380.038491,0.5875593
-103.742752,68,380.103309,0.19436142
-114.396842,66,380.183715,0.20548876
-139.129995,69,380.703102,0.87976116
-369.278779,91,380.78928,0.028345102
-211.964653,78,380.8632,0.20894903
-71.894473,77,381.390869,0.58972096
-54.005258,73,381.459717,0.27138057
-15.297508,69,381.980459,0.4313599
-97.08136,78,382.058328,0.47527978
-55.078764,83,382.136001,0.18069242
-119.388153,85,382.67731,0.60789055
-45.600748,73,382.749365,0.4850191
-111.86029,82,383.346749,0.93263
-58.774516,74,383.420474,0.5791253
-80.582231,83,383.506972,0.005374425
-93.220511,82,384.049671,0.8296873
